date,days,mar,tc,toc,tic,tn,ts,mar_flag,tc_flaf,toc_flag,tic_flag,tn_flag,ts_flag
2012-05-05,,,,,,,,ND,ND,ND,ND,ND,ND
2012-06-15,41,2.04,13.94,8.77,5.17,0.94,0.31,,,,,,
2012-07-19,34,1.17,17.16,7.36,9.8,1.23,0.4,,,,,,
2012-08-29,41,0.93,22.91,13.73,9.18,2.57,0.71,,,,,,
2012-09-24,26,0.42,30.76,25.77,4.98,4.51,1.44,,,,,,
2012-10-24,30,0.42,28.12,24.16,3.96,3.91,1.29,,,,,,
2012-11-20,27,0.67,22.97,17.02,5.96,2.42,1.22,,,,,,
2013-04-22,153,0.26,23.6,20.43,3.17,3.05,2.59,,,,,,
2013-06-06,45,2.13,19.35,14.43,4.92,2.16,0.81,,,,,,
2013-06-29,23,3.44,17.75,8.26,9.48,1.39,0.34,,,,,,
2013-07-24,25,0.94,23.03,15.13,7.9,2.51,0.96,,,,,,
2013-08-27,34,0.25,29.83,23.83,6,3.87,1.13,,,,,,
2013-09-27,31,0.64,24.57,15.41,9.15,2.79,0.69,,,,,,
2013-10-12,15,0.77,28.8,23.67,5.14,4.21,1.33,,,,,,
2013-11-18,37,1.52,22.6,17.14,5.47,2.76,1.61,,,,,,
2013-12-19,31,2.71,23.32,20.36,2.95,3.04,2.06,,,,,,
2014-01-25,37,3.5,,,,,,,ND,ND,ND,ND,ND
2014-03-28,62,0.48,16.59,14.01,2.58,1.46,0.47,,,,,,
2014-05-23,56,5.98,15.54,11.99,3.55,1.04,0.2,,,,,,
2014-06-24,32,1.71,18.06,15.84,2.22,1.91,0.29,,,,,,
2014-07-21,27,3.08,17.97,14.76,3.21,1.71,0.27,,,,,,
2014-08-27,37,2.27,20.19,15.6,4.59,1.96,0.22,,,,,,
2014-09-29,33,0.95,23.54,19.82,3.72,2.79,0.4,,,,,,
2014-10-30,31,0.72,24.71,21.42,3.29,3.03,0.8,,,,,,
2014-11-28,29,1.15,24.59,21.89,2.7,3.24,0.6,,,,,,
2014-12-22,24,0.63,20.86,19.4,1.46,2.42,0.65,,,,,,
2015-03-18,86,0.41,21.67,20.43,1.24,2.44,1.32,,,,,,
2015-04-27,40,4.15,18.59,16.81,1.78,1.95,0.83,,,,,,
2015-05-27,30,4.4,15.11,8.47,6.64,1.07,0.28,,,,,,
2015-06-24,28,1.43,18.33,16.09,2.24,1.85,0.48,,,,,,
2015-08-07,44,2.38,18.26,10.8,7.46,1.28,0.27,,,,,,
2015-09-09,33,1.48,20.03,15.75,4.28,1.76,0.35,,,,,,
2015-10-15,36,0.55,27.47,25.72,1.75,3.48,0.74,,,,,,
2015-11-15,31,0.32,24.08,21.63,2.45,3.3,0.8,,,,,,
2015-12-21,36,1.04,26.29,24.2,2.09,3.81,2.3,,,,,,
2016-03-14,84,1.04,19.06,15.96,3.1,1.89,0.75,,,,,,
2016-04-15,32,2.01,17.42,15.45,1.97,1.67,0.39,,,,,,
2016-05-22,37,7.73,14.63,11.93,2.71,0.88,0.15,,,,,,
2016-06-23,32,3.47,16.78,11.57,5.21,1.5,0.32,,,,,,
2016-07-27,34,1.85,19.55,14.11,5.44,1.78,0.37,,,,,,
2016-08-19,23,0.58,26.37,22.38,4,3.25,0.98,,,,,,
2016-09-23,35,0.7,27.36,25.17,2.2,3.39,0.89,,,,,,
2016-11-11,49,0.76,24.69,21.94,2.75,3.21,1.53,,,,,,
2016-12-12,31,0.79,24.22,22.35,1.88,3.52,2.01,,,,,,
2017-03-27,105,0.6,19.74,18.42,1.32,2.4,2.15,,,,,,
2017-04-21,25,1.63,16.3,15.07,1.23,1.84,1.57,,,,,,
2017-05-19,28,1.81,18.22,14.78,3.45,1.7,0.43,,,,,,
2017-06-15,27,6.25,14.12,6.25,7.87,0.74,0.21,,,,,,
2017-07-26,41,2.14,17.98,10.1,7.88,1.37,0.37,,,,,,
2017-09-01,37,1.45,21.66,14.48,7.18,2.02,0.47,,,,,,
2017-10-03,32,0.29,28.78,25.52,3.26,3.72,0.82,,,,,,
2017-11-03,31,0.87,23.83,20,3.84,2.94,1.19,,,,,,
2017-12-06,33,1.13,19.81,16.57,3.24,2.33,0.79,,,,,,
2018-01-05,30,1.44,20.84,18.3,2.54,2.47,0.95,,,,,,
2018-04-06,91,0.3,12.56,10.27,2.29,1.07,1.38,,,,,,
2018-04-30,24,2.07,22.56,20.82,1.75,2.13,0.64,,,,,,
2018-05-31,31,3.32,16.22,12.24,3.99,1.39,0.94,,,,,,
2018-07-06,36,2.57,16.74,10.55,6.19,1.37,0.37,,,,,,
2018-07-29,23,0.92,21,16,5,2.07,0.46,,,,,,
2018-08-28,30,0.46,20.13,14.82,5.31,1.99,0.49,,,,,,
2018-10-01,34,0.45,22.24,16.75,5.49,2.57,0.55,,,,,,
2018-10-29,28,0.61,23.87,19.61,4.26,3.03,1.12,,,,,,
2018-12-16,48,0.85,20.11,15.24,4.87,2.07,0.88,,,,,,
2019-03-16,90,0.51,15.08,,,1.62,1.2,,,ND,ND,,
2019-04-29,44,2.32,19.59,15.92,3.67,2.13,0.73,,,,,,
2019-06-06,38,4.09,14.79,6.12,8.67,1,0.2,,,,,,
2019-07-01,25,1.43,18.56,11.18,7.38,1.86,0.38,,,,,,
2019-08-01,31,1.65,21.5,15.68,5.82,2.56,0.64,,,,,,
2019-08-30,29,0.55,24.16,18.23,5.93,2.89,0.72,,,,,,
2019-09-30,31,0.6,26.9,22.21,4.69,3.3,0.83,,,,,,
2019-10-30,30,0.26,29.02,25.5,3.52,3.9,1.21,,,,,,
2019-12-04,35,0.8,24.35,19.37,4.98,3.01,1.57,,,,,,
2020-01-02,29,0.18,26.77,23.01,3.76,3.9,2.32,,,,,,
2020-01-26,24,0.57,28.08,25.29,2.79,4.07,2.94,,,,,,
2020-03-08,42,1.6,15.67,12.25,3.42,1.75,1.23,,,,,,
2020-04-06,29,1.65,18.36,13.43,4.93,1.78,0.52,,,,,,
2020-04-30,24,5.18,15.28,10.04,5.24,1.54,0.35,,,,,,
2020-05-27,27,8.96,13.56,5.74,7.82,0.86,0.18,,,,,,
2020-07-02,36,4.72,16.65,7.87,8.78,1.31,0.17,,,,,,
2020-07-30,28,1.14,20.36,12.73,7.64,2.02,0.4,,,,,,
2020-09-03,35,0.63,30.48,26.85,3.64,4.1,0.86,,,,,,
2020-09-29,26,0.62,32.88,30.2,2.68,4.62,1.39,,,,,,
2020-10-30,31,0.58,30.94,27.92,3.02,4.31,1.91,,,,,,
2020-12-01,32,0.54,27.91,23.67,4.24,3.88,1.71,,,,,,
2020-12-30,29,1.08,28.1,24.15,3.95,3.79,2,,,,,,
2021-04-01,92,0.84,20.92,15.9,5.02,1.99,0.89,,,,,,
2021-04-30,29,2.24,17.26,10.78,6.48,1.35,0.55,,,,,,
2021-05-31,31,9.02,17.86,11.6,6.26,1.65,0.37,,,,,,
2021-06-30,30,4.75,15.52,7.04,8.48,0.99,0.23,,,,,,
2021-07-30,30,1.57,20.24,12.17,8.07,1.81,0.52,,,,,,
2021-09-01,33,1.27,26.49,20.6,5.89,2.99,0.97,,,,,,
2021-10-02,31,0.71,29.28,24.59,4.7,3.49,2.3,,,,,,
2021-11-07,36,1,28.7,24.61,4.09,3.76,2.2,,,,,,
2021-12-20,43,1.86,,,,,,,ND,ND,ND,ND,ND
